,index
，,0
的,1
。,2
了,3
是,4
和,5
我,6
一个,7
有,8
、,9
不,10
都,11
人,12
他,13
个,14
在,15
说,16
“,17
也,18
：,19
要,20
？,21
这,22
自己,23
上,24
就是,25
（,26
我们,27
！,28
没有,29
会,30
”,31
去,32
被,33
很,34
可以,35
这个,36
）,37
就,38
对,39
还,40
一,41
你,42
时候,43
把,44
能,45
多,46
她,47
到,48
不是,49
年,50
给,51
看,52
什么,53
《,54
让,55
知道,56
还是,57
来,58
做,59
中,60
》,61
想,62
里,63
过,64
觉得,65
因为,66
但,67
没,68
为,69
又,70
用,71
好,72
大,73
着,74
问题,75
次,76
两,77
而,78
他们,79
中国,80
与,81
从,82
",",83
后,84
几,85
但是,86
很多,87
吧,88
那,89
啊,90
如果,91
已经,92
现在,93
地,94
小,95
这样,96
……,97
开始,98
.,99
时,100
点,101
最,102
跟,103
所以,104
三,105
然后,106
它,107
只,108
下,109
；,110
等,111
真的,112
喜欢,113
不会,114
可能,115
吃,116
得,117
/,118
这种,119
再,120
那么,121
或者,122
天,123
不能,124
更,125
才,126
并,127
种,128
需要,129
看到,130
比,131
不要,132
这么,133
一样,134
这些,135
一些,136
以,137
大家,138
时间,139
之,140
却,141
(,142
只是,143
应该,144
吗,145
像,146
呢,147
-,148
怎么,149
你们,150
一直,151
东西,152
一下,153
将,154
发现,155
那个,156
为了,157
还有,158
之后,159
生活,160
月,161
第一,162
太,163
当,164
别人,165
工作,166
世界,167
其实,168
比较,169
孩子,170
打,171
:,172
找,173
//,174
非常,175
感觉,176
一点,177
事,178
),179
——,180
们,181
而且,182
为什么,183
出来,184
事情,185
只有,186
国家,187
美国,188
出,189
于,190
当时,191
一起,192
写,193
或,194
一定,195
电影,196
最后,197
各种,198
问,199
买,200
叫,201
那些,202
虽然,203
前,204
走,205
日本,206
起来,207
甚至,208
直接,209
其,210
朋友,211
社会,212
所有,213
谁,214
老师,215
主,216
可,217
岁,218
学习,219
乎,220
其他,221
完全,222
不过,223
第,224
公司,225
条,226
特别,227
地方,228
所,229
只能,230
认为,231
回答,232
爱,233
家,234
对于,235
高,236
一般,237
件,238
能力,239
选择,240
话,241
每天,242
the,243
以后,244
知,245
来说,246
钱,247
向,248
请,249
先,250
———,251
而是,252
成为,253
听,254
个人,255
+,256
学校,257
张,258
通过,259
有人,260
中的,261
之前,262
有些,263
开,264
如何,265
拿,266
死,267
不同,268
成,269
com,270
进行,271
。。。,272
以及,273
比如,274
基本,275
希望,276
玩,277
2,278
四,279
1,280
人类,281
如,282
出现,283
主要,284
二,285
里面,286
半,287
…,288
位,289
3,290
十,291
日,292
作为,293
都会,294
真,295
无,296
～,297
任何,298
结果,299
手机,300
本,301
大学,302
突然,303
带,304
%,305
分,306
这里,307
使用,308
后来,309
能够,310
答案,311
除了,312
男,313
无法,314
学生,315
是因为,316
长,317
10,318
是不是,319
拍,320
记得,321
父母,322
该,323
整个,324
那种,325
句,326
必须,327
多少,328
号,329
只要,330
跑,331
狗,332
确实,333
好像,334
经常,335
评论,336
连,337
当然,338
技术,339
发展,340
站,341
名,342
方式,343
每个,344
原因,345
重要,346
同学,347
有点,348
根本,349
讲,350
历史,351
穿,352
方法,353
逼,354
看着,355
车,356
一切,357
帮,358
学,359
第二,360
医生,361
告诉,362
题,363
家里,364
发生,365
晚上,366
=,367
肯定,368
影响,369
努力,370
小时,371
同时,372
存在,373
容易,374
脸,375
要求,376
以前,377
过程,378
别,379
理解,380
五,381
简单,382
猫,383
5,384
每,385
起,386
发,387
不到,388
关系,389
人家,390
看看,391
更多,392
关于,393
情况,394
a,395
毕竟,396
照片,397
_,398
可是,399
啦,400
方面,401
~,402
真正,403
并且,404
继续,405
及,406
故事,407
老,408
经历,409
身体,410
"""",411
总是,412
专业,413
遇到,414
才能,415
手,416
医院,417
真是,418
所谓,419
大概,420
部分,421
最好,422
由,423
曾经,424
的话,425
过去,426
女生,427
答,428
则,429
准备,430
者,431
】,432
导致,433
某,434
花,435
几乎,436
相信,437
找到,438
变成,439
已,440
了解,441
不想,442
20,443
想要,444
部,445
是否,446
不好,447
么,448
来自,449
国内,450
之间,451
城市,452
决定,453
经济,454
得到,455
群,456
内,457
to,458
不用,459
「,460
自,461
of,462
靠,463
以为,464
人生,465
」,466
妈,467
放,468
新,469
挺,470
女,471
并不,472
书,473
图,474
黑,475
太多,476
有的,477
往,478
另,479
妈妈,480
政府,481
生,482
加,483
每次,484
总,485
心里,486
少,487
快,488
包括,489
成功,490
由于,491
4,492
不断,493
回,494
便,495
越,496
北京,497
美,498
研究,499
刚,500
时代,501
最大,502
使,503
30,504
进入,505
一边,506
还要,507
8,508
进,509
回家,510
买了,511
获得,512
内容,513
...,514
左右,515
带着,516
7,517
赞,518
事件,519
关注,520
全,521
干,522
自然,523
且,524
文化,525
心,526
目前,527
片,528
终于,529
相关,530
战争,531
如此,532
爸,533
and,534
绝对,535
见,536
情况下,537
人们,538
场,539
今天,540
代表,541
产生,542
游戏,543
市场,544
改变,545
于是,546
行业,547
水,548
行为,549
衣服,550
大部分,551
产品,552
装,553
愿意,554
对方,555
程度,556
年前,557
政治,558
当年,559
养,560
外,561
不错,562
永远,563
带来,564
道,565
完,566
知识,567
低,568
回来,569
男生,570
本身,571
看见,572
喝,573
其中,574
分钟,575
微信,576
大量,577
环境,578
人民,579
运动,580
男人,581
适合,582
怕,583
卖,584
换,585
毕业,586
到底,587
六,588
音乐,589
信息,590
很好,591
最终,592
家庭,593
设计,594
教育,595
控制,596
头,597
送,598
段,599
A,600
属于,601
各,602
明显,603
训练,604
地球,605
水平,606
全部,607
搞,608
块,609
微博,610
?,611
简直,612
实在,613
提供,614
数据,615
100,616
坚持,617
啥,618
读,619
上面,620
系统,621
越来越,622
字,623
出去,624
您,625
身上,626
尤其,627
下来,628
达到,629
至少,630
居然,631
吃饭,632
即使,633
十分,634
依然,635
算是,636
哪,637
考虑,638
普通,639
算,640
慢慢,641
元,642
想到,643
企业,644
此,645
未来,646
不少,647
不了,648
按,649
更加,650
价格,651
女人,652
接受,653
声音,654
强,655
保持,656
推荐,657
米,658
住,659
就要,660
好多,661
表示,662
坐,663
分析,664
拉,665
篇,666
爸爸,667
12,668
建议,669
6,670
表现,671
面对,672
本来,673
后面,674
you,675
不敢,676
多年,677
完成,678
不如,679
明白,680
父亲,681
文章,682
儿子,683
眼睛,684
神,685
视频,686
办法,687
好好,688
不管,689
参加,690
来看,691
很大,692
正常,693
动物,694
笑,695
严重,696
支持,697
一家,698
要是,699
内心,700
拥有,701
名字,702
超过,703
造成,704
【,705
过来,706
七,707
正,708
那样,709
差,710
就算,711
机会,712
也许,713
非,714
嘛,715
生命,716
用户,717
正在,718
女性,719
角度,720
曾,721
面,722
思考,723
根据,724
性,725
同样,726
认识,727
很难,728
没什么,729
妹子,730
数,731
听到,732
回到,733
目标,734
因,735
估计,736
考,737
状态,738
经验,739
之类,740
资源,741
领导,742
讨论,743
帮助,744
百度,745
身边,746
解决,747
保护,748
项目,749
自由,750
老板,751
公众,752
图片,753
变得,754
即,755
·,756
条件,757
不够,758
子,759
注意,760
以上,761
年代,762
媒体,763
份,764
些,765
平时,766
遍,767
哭,768
骂,769
门,770
放在,771
好看,772
速度,773
标准,774
成绩,775
它们,776
刷,777
说明,778
评价,779
活动,780
原来,781
提高,782
至,783
说话,784
组织,785
清楚,786
没人,787
安全,788
解释,789
效果,790
高中,791
行,792
声,793
杀,794
习惯,795
在于,796
受,797
线,798
法律,799
精神,800
宇宙,801
经过,802
文明,803
网络,804
同,805
心理,806
打开,807
步,808
她们,809
等等,810
飞机,811
情绪,812
结束,813
呀,814
似乎,815
许多,816
这次,817
空间,818
然而,819
天天,820
科学,821
不行,822
现实,823
往往,824
某些,825
活,826
样子,827
因此,828
上海,829
套,830
大多数,831
质量,832
增加,833
最近,834
自我,835
实现,836
哪里,837
基础,838
形成,839
口,840
建立,841
利用,842
力量,843
腿,844
按照,845
姑娘,846
约,847
B,848
台湾,849
不再,850
I,851
看过,852
英语,853
新闻,854
50,855
提,856
投资,857
处理,858
感,859
9,860
面前,861
唯一,862
作品,863
动作,864
旁边,865
苏联,866
意义,867
理论,868
差不多,869
各位,870
做到,871
提到,872
受到,873
不仅,874
坐在,875
指,876
下面,877
’,878
加上,879
不说,880
句话,881
下去,882
竟然,883
哪个,884
利益,885
语言,886
计划,887
想法,888
价值,889
观点,890
思想,891
放弃,892
一大,893
母亲,894
见过,895
路,896
谈,897
教,898
而已,899
选,900
别的,901
读书,902
15,903
意思,904
一部分,905
八,906
民族,907
认真,908
无论,909
时期,910
接触,911
具体,912
那里,913
态度,914
有时候,915
类似,916
掉,917
分享,918
思维,919
前面,920
表达,921
之一,922
in,923
红,924
区,925
我会,926
电话,927
高考,928
成本,929
女儿,930
那时候,931
考试,932
首,933
变,934
睡,935
看起来,936
体验,937
哦,938
警察,939
傻,940
间,941
联系,942
强大,943
作者,944
做出,945
类,946
开心,947
比赛,948
位置,949
怎样,950
国,951
想想,952
近,953
更新,954
歌,955
;,956
房子,957
光,958
证明,959
英国,960
随便,961
堆,962
我家,963
0,964
新的,965
压力,966
直到,967
度,968
目的,969
边,970
传统,971
反正,972
肉,973
方向,974
期间,975
正确,976
更好,977
离开,978
足够,979
具有,980
11,981
需求,982
收入,983
难,984
入,985
保证,986
真实,987
独立,988
阅读,989
路上,990
从来,991
小时候,992
阶段,993
转,994
超,995
军,996
自身,997
反而,998
提出,999
基本上,1000
早上,1001
哈哈哈,1002
课,1003
功能,1004
颗,1005
变化,1006
相对,1007
反应,1008
错,1009
粉,1010
追求,1011
背,1012
作用,1013
女孩,1014
例子,1015
难道,1016
优秀,1017
感情,1018
网上,1019
逻辑,1020
人物,1021
粉丝,1022
感受,1023
部队,1024
词,1025
懂,1026
离,1027
睡觉,1028
地区,1029
年轻,1030
未,1031
仍然,1032
儿,1033
回去,1034
型,1035
学会,1036
跑步,1037
值得,1038
我国,1039
以下,1040
十几,1041
平台,1042
健康,1043
感到,1044
一句话,1045
],1046
反,1047
要么,1048
电脑,1049
早,1050
领域,1051
失去,1052
作,1053
或许,1054
今年,1055
秒,1056
款,1057
倒,1058
网站,1059
巨大,1060
大陆,1061
周,1062
想象,1063
满足,1064
够,1065
－,1066
系,1067
无数,1068
万,1069
物理,1070
痛苦,1071
好几,1072
反对,1073
想起,1074
超级,1075
患者,1076
先生,1077
处,1078
C,1079
式,1080
初中,1081
王,1082
观众,1083
又是,1084
健身,1085
哥,1086
本人,1087
战,1088
必要,1089
拿着,1090
台,1091
香港,1092
占,1093
包,1094
军队,1095
版,1096
外面,1097
都是,1098
票,1099
韩国,1100
宿舍,1101
远,1102
哪些,1103
家长,1104
店,1105
失败,1106
性格,1107
这部,1108
留下,1109
级,1110
小孩,1111
管理,1112
介绍,1113
欧洲,1114
可能会,1115
班,1116
距离,1117
担心,1118
很少,1119
害怕,1120
人员,1121
长期,1122
西方,1123
全国,1124
司机,1125
再也,1126
法,1127
互联网,1128
某个,1129
is,1130
不可,1131
重新,1132
同事,1133
实验,1134
职业,1135
理由,1136
圈,1137
那天,1138
可爱,1139
科技,1140
模式,1141
方,1142
结婚,1143
德国,1144
用来,1145
首先,1146
爱情,1147
更是,1148
公里,1149
随着,1150
他人,1151
一生,1152
千,1153
姐姐,1154
有可能,1155
实际上,1156
有一天,1157
背景,1158
唱,1159
特,1160
画,1161
再次,1162
主动,1163
风格,1164
偶尔,1165
工资,1166
—,1167
演员,1168
小学,1169
块钱,1170
广告,1171
另外,1172
抓,1173
网,1174
背后,1175
不知,1176
实际,1177
便宜,1178
最高,1179
人口,1180
幸福,1181
病人,1182
管,1183
马上,1184
道德,1185
淘宝,1186
练,1187
数学,1188
跟着,1189
错误,1190
服务,1191
多么,1192
现代,1193
座,1194
周围,1195
国外,1196
印象,1197
导演,1198
一旦,1199
单位,1200
不懂,1201
哪怕,1202
拒绝,1203
白,1204
刚刚,1205
本书,1206
概念,1207
拍摄,1208
承认,1209
脚,1210
若,1211
贴,1212
球,1213
层,1214
生产,1215
所有人,1216
伤害,1217
重,1218
老婆,1219
肌肉,1220
来到,1221
颜色,1222
像是,1223
从小,1224
系列,1225
朋友圈,1226
提升,1227
印度,1228
漂亮,1229
一块,1230
!,1231
话题,1232
感谢,1233
英雄,1234
门口,1235
厉害,1236
食物,1237
破,1238
品牌,1239
挂,1240
火,1241
量,1242
确定,1243
死亡,1244
表情,1245
而言,1246
爷爷,1247
仅仅,1248
敢,1249
角色,1250
斤,1251
描述,1252
不在,1253
百,1254
细节,1255
附近,1256
心情,1257
稳定,1258
根,1259
40,1260
[,1261
事实,1262
这位,1263
地位,1264
飞,1265
国际,1266
生物,1267
补充,1268
组,1269
核心,1270
刀,1271
出门,1272
每年,1273
拿出,1274
聊天,1275
最多,1276
老人,1277
地上,1278
镜头,1279
软件,1280
尽量,1281
不然,1282
赚钱,1283
充满,1284
家人,1285
复杂,1286
喷,1287
负责,1288
爸妈,1289
日子,1290
全球,1291
一路,1292
看完,1293
心中,1294
尝试,1295
赚,1296
皮肤,1297
小说,1298
that,1299
记录,1300
物质,1301
美好,1302
穷,1303
很快,1304
道理,1305
交流,1306
下午,1307
判断,1308
处于,1309
求,1310
病,1311
逐渐,1312
男朋友,1313
90,1314
瞬间,1315
女朋友,1316
享受,1317
照,1318
‘,1319
智商,1320
因素,1321
力,1322
加入,1323
彻底,1324
for,1325
重点,1326
接,1327
看来,1328
工具,1329
有关,1330
一半,1331
依旧,1332
没有人,1333
团队,1334
长大,1335
s,1336
追,1337
收,1338
治疗,1339
见到,1340
中间,1341
体,1342
伟大,1343
尊重,1344
留,1345
80,1346
喊,1347
正是,1348
有着,1349
成长,1350
太阳,1351
天下,1352
是从,1353
宣传,1354
上班,1355
掌握,1356
文字,1357
当地,1358
做好,1359
九,1360
风险,1361
不让,1362
仍,1363
引起,1364
既,1365
听说,1366
进去,1367
规定,1368
手术,1369
不算,1370
符合,1371
题目,1372
想着,1373
风,1374
手段,1375
付出,1376
云,1377
跳,1378
任务,1379
二十,1380
胖,1381
避免,1382
化,1383
现象,1384
年轻人,1385
血,1386
拿到,1387
卡,1388
政策,1389
穿着,1390
美元,1391
完美,1392
赶紧,1393
丢,1394
狼,1395
一段时间,1396
之外,1397
改,1398
团,1399
汽车,1400
俄罗斯,1401
最重要,1402
X,1403
熟悉,1404
画面,1405
减少,1406
打算,1407
当初,1408
贵,1409
辆,1410
必然,1411
成熟,1412
资料,1413
制度,1414
体系,1415
打电话,1416
结构,1417
一辈子,1418
方便,1419
市,1420
饭,1421
有效,1422
抱着,1423
毫无,1424
楼,1425
优势,1426
显得,1427
记忆,1428
军事,1429
奶奶,1430
大多,1431
银行,1432
演技,1433
既然,1434
开发,1435
总结,1436
聊,1437
对比,1438
200,1439
实力,1440
数量,1441
创业,1442
老公,1443
检查,1444
经典,1445
回复,1446
关键,1447
派,1448
兄弟,1449
it,1450
味道,1451
好吃,1452
60,1453
相当,1454
迅速,1455
毛,1456
双,1457
心态,1458
剩下,1459
双方,1460
年级,1461
吐槽,1462
大众,1463
怀疑,1464
自信,1465
农村,1466
皇帝,1467
热,1468
少年,1469
朝鲜,1470
快乐,1471
可怕,1472
怎么样,1473
晚,1474
ω,1475
如今,1476
电视,1477
谢谢,1478
搜索,1479
眼,1480
身份,1481
哥哥,1482
形式,1483
陪,1484
抢,1485
中心,1486
房间,1487
很久,1488
形象,1489
区别,1490
能量,1491
法国,1492
年龄,1493
艺术,1494
称,1495
专门,1496
制造,1497
本质,1498
波,1499
原,1500
观察,1501
免费,1502
演,1503
师,1504
苹果,1505
锻炼,1506
互相,1507
省,1508
快速,1509
至今,1510
必,1511
累,1512
通常,1513
网易,1514
千万,1515
统一,1516
鸡,1517
皆,1518
持续,1519
缺乏,1520
动,1521
翻,1522
针对,1523
事儿,1524
渣,1525
记,1526
相比,1527
使得,1528
君,1529
乱,1530
洗,1531
稍微,1532
否则,1533
接近,1534
坏,1535
员工,1536
信,1537
男性,1538
走到,1539
忘了,1540
群众,1541
医疗,1542
均,1543
深,1544
以来,1545
肌,1546
